id,source,country,title,date,century,type,medium,place,accession,credit,provenance,openImage,image,url,dataLicence,matchBasis,strength
vam-O479166,Victoria and Albert Museum,UK,"Relief, depicting figure of Siva as Bhairava Raga, soapstone, carved, Nepal",before 1879,19th c.,Figure,"Soapstone, carved in relief",Nepal,374(IS),,,False,"https://framemark.vam.ac.uk/collections/2019ME5302/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479166/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479165,Victoria and Albert Museum,UK,"Relief, depicting figure of Vishnu as Parasurama, soapstone, carved, Nepal",before 1879,19th c.,Figure,"Soapstone, carved in relief",Nepal,375(IS),,,False,"https://framemark.vam.ac.uk/collections/2019ME4164/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479165/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479164,Victoria and Albert Museum,UK,"Relief, depicting figure of Vishnu as Narasingha and dwarf, soapstone, carved, Nepal",before 1879,19th c.,Figure,"Soapstone, carved in relief",Nepal,376(IS),,,False,"https://framemark.vam.ac.uk/collections/2019ME5303/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479164/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479163,Victoria and Albert Museum,UK,"Relief, depicting figure of Indra on Airavata, soapstone, carved, Nepal",before 1879,19th c.,Figure,"Soapstone, carved in relief",Nepal,381(IS),,,False,"https://framemark.vam.ac.uk/collections/2019ME5305/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479163/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479162,Victoria and Albert Museum,UK,"Figure of Karttikeya, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,387(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9169/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479162/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479152,Victoria and Albert Museum,UK,"Figure of Sarasvati, carved soapstone, Nepal, early 19th century",early 19th century,19th c.,Figure,Carved soapstone,Nepal,IS.4-1902,"Presented by Colonel F. R. Waldo-Sibthorp, 41 Stillwood Road, Brighton","Presented by Colonel F. R. Waldo-Sibthorp, 41 Stillwood Road, Brighton. This acquisition information reflects that found in the Museum records (Asia Department registers and/or Central Inventory) as part of a 2023 provenance research project. Registered Papers: 6541",False,"https://framemark.vam.ac.uk/collections/2019ME4881/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479152/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O479151,Victoria and Albert Museum,UK,Hanuman,18th century,18th c.,Sculpture,Carved greenish-grey soapstone ( steatite),Nepal,IS.5-1902,"Presented by Colonel F. R. Waldo-Sibthorp, 41 Stillwood Road, Brighton","Presented by Colonel F. R. Waldo-Sibthorp, 41 Stillwood Road, Brighton. This acquisition information reflects that found in the Museum records (Asia Department registers and/or Central Inventory) as part of a 2023 provenance research project. Registered Papers: 6541",False,"https://framemark.vam.ac.uk/collections/2019ME5330/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O479151/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O478223,Victoria and Albert Museum,UK,"Textile, fragment, striped woven cotton, Nepal, ca. 1855-1879",ca. 1855-1879,19th c.,Textile,Woven cotton,Nepal,8019(IS),,Transferred from India Museum 1879.,False,"https://framemark.vam.ac.uk/collections/2014GX7528/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O478223/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O477303,Victoria and Albert Museum,UK,"Chaddar (shawl) of eri silk embroidered with muga or tasar silk, Nepal, c.1855",c.1855,19th c.,Chaddar,,Nepal,05676(IS),,Transferred from the India Museum in 1879. India Museum Slip book entry 3363: 'Wild Silk Scarf / Endi Chuddar / Nepal / 55 / Coarse Brown.',False,"https://framemark.vam.ac.uk/collections/2021MY9155/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O477303/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O476549,Victoria and Albert Museum,UK,"Chador (shawl or headcover) of woven white cotton, Nepal, c.1855",c.1855,19th c.,Chador ,Woven cotton,Nepal,5617(IS),,Transferred from the India Museum in 1879. India Museum Slip book entry 975: 'Cotton Cloth / Chudder / Poontoo ecka [?] / Nepal / 55 / Plain unbleached cotton.',False,"https://framemark.vam.ac.uk/collections/2013GV6759/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O476549/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475941,Victoria and Albert Museum,UK,"Shawl (duputta), purple muslin, applied gold and silver, Nepal, ca. 1855",ca. 1855-1879,19th c.,Shawl,"Woven muslin, applied gold-wrapped thread and gold wire and glass beads, silver ribbon and gold and silver thread",Nepal,0464(IS),,"Transferred from India Museum 1879. Slip book entry 4132: 'Muslin Scarf / Dopatta / Nepal / 1855 / Puce Muslin ornamented with gold and silver - fringed' 1880 Register Entry: [Case 15] '0464. SHAWL. ""Doputta."" Purple, embroidered with gold and silver; Nepal. 4132'",False,"https://framemark.vam.ac.uk/collections/2014GY1861/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475941/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475438,Victoria and Albert Museum,UK,"Figure of a mother and child, wood, carved, Nepal, 18th - 19th century",18th century - 19th century,18th c.,Figure,"Wood, carved",Nepal,IS.193-1959,"Given by C.R. Stoner, Esq.",,False,"https://framemark.vam.ac.uk/collections/2020MN9104/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475438/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475437,Victoria and Albert Museum,UK,"Figure of a mother and child, wood, carved, Nepal, probably 19th century",19th century,19th c.,Figure,"Wood, carved",Nepal,IS.194-1959,"Given by C.R. Stoner, Esq.",,False,"https://framemark.vam.ac.uk/collections/2020MN9105/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475437/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475436,Victoria and Albert Museum,UK,"Figure of a woman, wood, carved, Nepal, 20th century",20th century,20th c.,Figure,"Wood, carved",Nepal,IS.195-1959,"Given by C.R. Stoner, Esq.",,False,"https://framemark.vam.ac.uk/collections/2020MN9123/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475436/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475435,Victoria and Albert Museum,UK,"Figure of a woman, wood, carved, Nepal, 20th century",20th century,20th c.,Figure,"Wood, carved",Nepal,IS.196-1959,"Given by C.R. Stoner, Esq.",,False,"https://framemark.vam.ac.uk/collections/2020MN9087/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475435/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475434,Victoria and Albert Museum,UK,"Figure of a woman with urn, wood, carved, Nepal, 20th century",20th century,20th c.,Figure,"Wood, carved",Nepal,IS.197-1959,"Given by C.R. Stoner, Esq.",,False,"https://framemark.vam.ac.uk/collections/2020MN9088/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475434/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475432,Victoria and Albert Museum,UK,"Figure of Vishnu as Parasurama, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,333(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9164/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475432/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475430,Victoria and Albert Museum,UK,"Figure of Vishnu as Ramachandra, wood, carved and painted, Nepal",before 1879,19th c.,Figure,"Wood, carved and painted",Nepal,343(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9161/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475430/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475429,Victoria and Albert Museum,UK,"Figure of Vishnu as a boar, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,347(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN7907/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475429/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475426,Victoria and Albert Museum,UK,"Figure of Karttikeya, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,392(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN7903/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475426/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475425,Victoria and Albert Museum,UK,"Figure of Durga and the lion, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,393(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9172/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475425/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475424,Victoria and Albert Museum,UK,"Figure of Bhimasaha, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,386(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9171/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475424/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475423,Victoria and Albert Museum,UK,"Figure of Garuda, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,380(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9168/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475423/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475422,Victoria and Albert Museum,UK,"Figure of Sarasvati, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,390(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9158/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475422/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475421,Victoria and Albert Museum,UK,"Figure of Siva as Bhairava Raga, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,391(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN7908/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475421/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475420,Victoria and Albert Museum,UK,"Figure of Durga killing Mahisha, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,394(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9132/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475420/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475419,Victoria and Albert Museum,UK,"Figure, Buddhist, carved wood, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,440(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9134/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475419/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475418,Victoria and Albert Museum,UK,"Figure of Lakshmi as a boar, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,339(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN7905/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475418/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475417,Victoria and Albert Museum,UK,"Figure of Indra on Airavata, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,382(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9093/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475417/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475377,Victoria and Albert Museum,UK,"Figure of Siva and Nandi, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,389(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9162/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475377/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475376,Victoria and Albert Museum,UK,"Figure of Vishnu as Krishna with two Gopis, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,335(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9098/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475376/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475375,Victoria and Albert Museum,UK,"Figure of Vishnu and Garuda, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,349(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9092/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475375/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475373,Victoria and Albert Museum,UK,"Figure of Hanuman, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,340(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9170/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475373/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475372,Victoria and Albert Museum,UK,"Figure of Vishnu as a boar, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,348(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9091/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475372/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475371,Victoria and Albert Museum,UK,"Figure of Arjuna, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,385(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9115/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475371/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475370,Victoria and Albert Museum,UK,"Figure of Brahma, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,579(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9106/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475370/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475369,Victoria and Albert Museum,UK,"Figure of Vishnu as Parasurama, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,341(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9166/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475369/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475368,Victoria and Albert Museum,UK,"Figure of Vishnu as Parasurama, wood, carved and painted, Nepal",before 1879,19th c.,Figure,"Wood, carved and painted",Nepal,344(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9116/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475368/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475367,Victoria and Albert Museum,UK,"Figure of Vishnu as Parasurama, wood, carved and painted, Nepal",before 1879,19th c.,Figure,"Wood, carved and painted",Nepal,342(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9160/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475367/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475366,Victoria and Albert Museum,UK,"Figure of Siva and Nandi, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,388(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9157/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475366/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475365,Victoria and Albert Museum,UK,"Figure of Vishnu as Kalki, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,336(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9159/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475365/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475364,Victoria and Albert Museum,UK,"Figure of Vishnu as Ramachandra, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,334(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN7904/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475364/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475363,Victoria and Albert Museum,UK,"Figure of Vishnu as a boar, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,338(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9112/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475363/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475362,Victoria and Albert Museum,UK,"Figure of Siva as Bhairava Raga, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,384(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9114/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475362/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475359,Victoria and Albert Museum,UK,"Figure of Ganesa, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,395(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9133/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475359/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475358,Victoria and Albert Museum,UK,"Figure of Vishnu as Narasingha and Hiranya Kasipu, wood, carved, Nepal",before 1879,19th c.,Figure,Carved wood,Nepal,346(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MN9167/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475358/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475232,Victoria and Albert Museum,UK,"Figure group, cast bronze, Nepal, c. 18th century",17th century-18th century,17th c.,Figure,"Bronze, cast",Nepal,"IS.86A, B-1988",Purchased from Mr M. Joy.,,False,"https://framemark.vam.ac.uk/collections/2020MR3029/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475232/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O475061,Victoria and Albert Museum,UK,"Stringed instrument and peg, wood and ivory, carved and partially gilt, Nepal, before 1879",before 1879,19th c.,Stringed instrument,"Wood, carved, painted or varnished, partially gilt; Ivory, carved",Nepal,"02028:1, 2/(IS)",,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Case 41.] '02,028. FIDDLE. ""Tharau,"" small, painted; Nepal. 4,399'",False,"https://framemark.vam.ac.uk/collections/2021NA2001/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O475061/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474822,Victoria and Albert Museum,UK,"Stringed instrument, 1 peg, wood, parchment, Nepal, before 1879",before 1879,19th c.,Stringed instrument,"Wood, carved and painted; parchment",Nepal,02042(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Case 41.] '02,042. FIDDLE. ""Small; Nepal. 4,398'",False,"https://framemark.vam.ac.uk/collections/2020MU2645/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474822/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474612,Victoria and Albert Museum,UK,"Trumpet or musical instrument, metal, with cloth tassles, Nepal, before 1879",before 1879,19th c.,Trumpet,"Metal, cloth",Nepal,02080(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Case 41.] '02,080. TRUMPET. Nepal. 4,413'",False,"https://framemark.vam.ac.uk/collections/2021NA1895/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474612/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474611,Victoria and Albert Museum,UK,"Trumpet or musical instrument, wood and metal, Nepal, before 1879",before 1879,19th c.,Trumpet,Wood and metal,Nepal,02081(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Case 41.] '02,081. TRUMPET. Nepal. ?4,416'",False,"https://framemark.vam.ac.uk/collections/2021NA1888/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474611/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474610,Victoria and Albert Museum,UK,"Trumpet or musical instrument, metal, painted, Nepal, before 1879",before 1879,19th c.,Trumpet,"Metal, painted",Nepal,02103(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Top of Case 34.] '02,103. TRUMPET. Nepal. 4,412'",False,"https://framemark.vam.ac.uk/collections/2021NA1889/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474610/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474609,Victoria and Albert Museum,UK,"Trumpet or musical instrument, metal, painted, Nepal, before 1879",before 1879,19th c.,Trumpet,"Metal, painted",Nepal,02105(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Top of Case 34.] '02,105. TRUMPET. Nepal. 4,406'",False,"https://framemark.vam.ac.uk/collections/2020MM2873/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474609/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474468,Victoria and Albert Museum,UK,"Stringed instrument, 1 peg, wood, carved, Nepal, before 1879",before 1879,19th c.,Stringed instrument,"Wood, carved and varnished or coated",Nepal,02029(IS),,"Transferred from the India Museum in 1879. 1880 Register Entry: [Room No. 7- continued. Case 41.] '02,029. FIDDLE. Nepal. 4,396'",False,"https://framemark.vam.ac.uk/collections/2021MV2213/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474468/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474305,Victoria and Albert Museum,UK,"Trumpet with mouthpiece, metal, painted, Nepal",before 1879,19th c.,Trumpet and mouthpiece,"Metal, painted",Nepal,"05198:1, 2/(IS)",,,False,"https://framemark.vam.ac.uk/collections/2021MY3746/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474305/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O474304,Victoria and Albert Museum,UK,"Portion of a trumpet, metal, painted, Nepal",before 1879,19th c.,Trumpet,"Metal, painted",Nepal,05199(IS),,,False,"https://framemark.vam.ac.uk/collections/2021MY3743/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O474304/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473722,Victoria and Albert Museum,UK,"Steelyard or balance, with one pan, iron, Nepal, 19th century",19th century,19th c.,Steelyard,Iron,Nepal,4130(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MP7494/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473722/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473593,Victoria and Albert Museum,UK,"Vegetable slicer, iron, perforated and hammered, Nepal",before 1879,19th c.,Vegetable slicer,"Iron, hammered and perforated",Nepal,07940(IS),,,False,"https://framemark.vam.ac.uk/collections/2020MP7671/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473593/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473345,Victoria and Albert Museum,UK,"Military badge, silver, repoussé, Nepal, 19th century",19th century,19th c.,Badge,"Silver, repoussé",Nepal,1074-1874,Purchased from the William Tayler Collection.,,False,"https://framemark.vam.ac.uk/collections/2020MU5366/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473345/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473256,Victoria and Albert Museum,UK,"Quiver <i>(thakru)</i>, bamboo, bound with leather, Nepal, probably 19th century",probably 19th century,19th c.,Quiver,"Bamboo, leather",Nepal,3103(IS),Transferred from the India Museum in 1879,,False,,https://collections.vam.ac.uk/item/O473256/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473190,Victoria and Albert Museum,UK,"Dagger <i>jamdhar kátári</i>, plain steel blade with a 'bracket' shaped guard, formerly gilt, Nepal, probably 19th century",probably 19th century,19th c.,Dagger,"Steel, forged; traces of gilding",Nepal,3048(IS),Transferred from the India Museum in 1879,,False,"https://framemark.vam.ac.uk/collections/2020MP6841/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473190/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473189,Victoria and Albert Museum,UK,"Dagger, steel blade, carved ivory hilt, Nepal, probably early 19th century",probably early 19th century,19th c.,Dagger,Steel; carved ivory,Nepal,3094(IS),Transferred from the India Museum in 1879,,False,"https://framemark.vam.ac.uk/collections/2020MP6865/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473189/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O473164,Victoria and Albert Museum,UK,"Body armour <i>(zirah bakhtah)</i>, steel and brass chain mail, Nepal, before 1879",before 1879,19th c.,Body armour,Brass; steel; leather,Nepal,3073(IS),Transferred from the India Museum in 1879,,False,"https://framemark.vam.ac.uk/collections/2020MP4815/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O473164/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O471545,Victoria and Albert Museum,UK,"Dagger <i>jamdhar kátári</i> with a plain steel blade and 'bracket' shaped guard, Nepal, probably 19th century",probably 19th century,19th c.,Dagger,Steel,Nepal,3066(IS),Transferred from the India Museum in 1879,"As originally arranged and displayed in Exhibition Road Indian Museum galleries until 1955, with some additions while in storage, case F.705",False,"https://framemark.vam.ac.uk/collections/2020MP6951/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O471545/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O471543,Victoria and Albert Museum,UK,"Helmet (<i>Tóp</i>), steel with gilt brass, padded silk brocade, Nepal, probably 19th century",probably 19th century,19th c.,Helmet,Steel; gilt brass; padded silk brocade,Nepal,3084(IS),Transferred from the India Museum in 1879,,False,"https://framemark.vam.ac.uk/collections/2021MV3423/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O471543/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O471521,Victoria and Albert Museum,UK,"Knife <i>Peshkabz</i> with a broad-backed straight T-sectioned steel blade narrowing to a slender point with a concave edge, the hilt of rock crystal, presented by the Late Sir Jung Bahadur, Nepal, 19th century",19th century,19th c.,Knife,Steel mounted in rock crystal,Nepal,2558(IS),Transferred from the India Museum in 1879,presented by the Late Sir Jung Bahadur to the East India Company,False,"https://framemark.vam.ac.uk/collections/2020MP6856/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O471521/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O471473,Victoria and Albert Museum,UK,"Matchlock, octagonal steel barrel, ebony stock, brass mounts, Nepal, probably 19th century",probably 19th century,19th c.,Firearm,"Steel, ebony, brass",Nepal,3081(IS),Transferred from the India Museum in 1879,,False,"https://framemark.vam.ac.uk/collections/2020MT0619/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O471473/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
vam-O471431,Victoria and Albert Museum,UK,"Knife <i>kukri</i> steel with an ebony hilt, Nepal, probably 19th century",19th century,19th c.,Knife (weapon),Steel and ebony,Nepal,IND.LOST.1048,,,False,"https://framemark.vam.ac.uk/collections/2020MP6854/full/!400,400/0/default.jpg",https://collections.vam.ac.uk/item/O471431/,V&A API — check V&A terms before reuse,place name Nepal (primary place),strong
